#Points:1    p    U:0    U:1
0.445    -0.00939729    -0.0411916    -0.000344961
0.450    -0.00939821    -0.0381815    -0.00027562
0.455    -0.00939936    -0.0344335    -0.00021463
0.460    -0.00940024    -0.0315733    -0.00017149
0.465    -0.00940092    -0.0293238    -0.000142551
0.470    -0.00940171    -0.0267427    -0.000118506
0.475    -0.00940313    -0.0222516    -8.42701E-05
0.480    -0.00940461    -0.0176435    -5.21869E-05
0.485    -0.0094056    -0.0146526    -3.56752E-05
0.490    -0.00940637    -0.0122847    -2.68027E-05
0.495    -0.00940708    -0.00769364    -1.57221E-05
0.500    -0.00940776    0    0
