#Points:1    p    U:0    U:1
-0.500    0.0231205    0    0
-0.495    0.0231169    0.0393233    -4.56643E-05
-0.490    0.0231131    0.0631342    -7.92143E-05
-0.485    0.023109    0.0759968    -0.000108803
-0.480    0.0231036    0.0929772    -0.000169142
-0.475    0.0230937    0.120217    -0.000295311
-0.470    0.0230834    0.147249    -0.000433201
-0.465    0.0230764    0.163504    -0.000534565
-0.460    0.0230675    0.179225    -0.000670596
-0.455    0.0230534    0.200549    -0.000884046
-0.450    0.0230328    0.229462    -0.00119302
-0.445    0.0230059    0.257393    -0.0015792
-0.440    0.022985    0.277684    -0.00187389
-0.435    0.022968    0.292188    -0.00210518
-0.430    0.022947    0.306354    -0.00236772
-0.425    0.0229088    0.329277    -0.00281906
-0.420    0.0228688    0.352111    -0.00327991
-0.415    0.022842    0.365967    -0.00357576
-0.410    0.0228095    0.379654    -0.00389319
-0.405    0.0227603    0.39844    -0.00434395
-0.400    0.0226899    0.424064    -0.00496768
-0.395    0.0226048    0.449497    -0.00561943
-0.390    0.02254    0.468082    -0.00609968
-0.385    0.0224892    0.481525    -0.006452
-0.380    0.0224304    0.49493    -0.00680855
-0.375    0.0223273    0.516806    -0.00739069
-0.370    0.0222211    0.538675    -0.00797273
-0.365    0.0221517    0.552056    -0.00832891
-0.360    0.0220729    0.565422    -0.00868098
-0.355    0.021957    0.583836    -0.0091621
-0.350    0.0217937    0.608985    -0.00981621
-0.345    0.0216076    0.634009    -0.0104518
-0.340    0.0214677    0.652291    -0.0109133
-0.335    0.0213605    0.665498    -0.0112425
-0.330    0.0212421    0.678589    -0.0115603
-0.325    0.021039    0.699839    -0.0120689
-0.320    0.0208317    0.721035    -0.012573
-0.315    0.0206988    0.733935    -0.0128754
-0.310    0.0205536    0.746641    -0.0131644
-0.305    0.0203442    0.764    -0.013553
-0.300    0.0200519    0.787608    -0.0140774
-0.295    0.0197317    0.810616    -0.01457
-0.290    0.0194928    0.827343    -0.0149251
-0.285    0.0193129    0.839303    -0.0151746
-0.280    0.0191201    0.850913    -0.0154085
-0.275    0.0187944    0.869548    -0.0157772
-0.270    0.0184641    0.888045    -0.0161403
-0.265    0.0182552    0.899171    -0.0163545
-0.260    0.0180333    0.909864    -0.0165521
-0.255    0.0177177    0.924275    -0.0168124
-0.250    0.0172803    0.94374    -0.0171598
-0.245    0.0168152    0.962093    -0.017469
-0.240    0.0164706    0.975334    -0.0176888
-0.235    0.0162143    0.984644    -0.0178387
-0.230    0.0159461    0.993379    -0.0179703
-0.225    0.0154987    1.00714    -0.0181697
-0.220    0.0150473    1.02068    -0.0183626
-0.215    0.0147652    1.02866    -0.0184712
-0.210    0.0144722    1.03599    -0.0185608
-0.205    0.0140607    1.04562    -0.0186705
-0.200    0.0134935    1.05843    -0.0188111
-0.195    0.0129058    1.0697    -0.0189093
-0.190    0.0124727    1.07769    -0.0189742
-0.185    0.0121543    1.08309    -0.019011
-0.180    0.0118283    1.08774    -0.0190283
-0.175    0.0112905    1.09468    -0.0190405
-0.170    0.0107504    1.10134    -0.0190458
-0.165    0.0104163    1.10502    -0.0190392
-0.160    0.0100769    1.1079    -0.0190133
-0.155    0.00960529    1.11128    -0.0189638
-0.150    0.00895884    1.11549    -0.0188869
-0.145    0.00830533    1.11788    -0.018769
-0.140    0.00782634    1.11932    -0.0186762
-0.135    0.00747808    1.11993    -0.0185992
-0.130    0.00712891    1.11968    -0.0185043
-0.125    0.00655903    1.11857    -0.0183349
-0.120    0.00598931    1.11716    -0.0181594
-0.115    0.00564069    1.11586    -0.0180432
-0.110    0.00529382    1.11371    -0.0179104
-0.105    0.00481736    1.11012    -0.0177156
-0.100    0.00416771    1.1048    -0.0174418
-0.095    0.00352707    1.09763    -0.0171349
-0.090    0.00306008    1.09209    -0.0169052
-0.085    0.00272436    1.08763    -0.0167312
-0.080    0.00239493    1.08236    -0.0165439
-0.075    0.00186314    1.07308    -0.0162278
-0.070    0.00133398    1.06352    -0.0159075
-0.065    0.00101378    1.05726    -0.0157052
-0.060    0.000702072    1.05023    -0.015492
-0.055    0.000278842    1.03998    -0.0151907
-0.050    -0.000294964    1.02562    -0.0147743
-0.045    -0.000846302    1.00968    -0.0143393
-0.040    -0.00124589    0.997774    -0.0140183
-0.035    -0.00152973    0.988781    -0.0137818
-0.030    -0.00180197    0.979139    -0.0135393
-0.025    -0.00223642    0.962887    -0.0131395
-0.020    -0.00266658    0.946422    -0.0127382
-0.015    -0.00292375    0.936032    -0.0124903
-0.010    -0.00316837    0.925085    -0.0122395
-0.005    -0.00349644    0.909608    -0.0118924
0.000    -0.00393856    0.888214    -0.0114174
0.005    -0.00435172    0.865798    -0.0109425
0.010    -0.0046493    0.849246    -0.0105953
0.015    -0.00485798    0.83703    -0.0103444
0.020    -0.00505326    0.824449    -0.010096
0.025    -0.00536115    0.803647    -0.00969396
0.030    -0.00566436    0.782738    -0.00929342
0.035    -0.00584328    0.76978    -0.00905038
0.040    -0.0060093    0.756578    -0.00881291
0.045    -0.00622903    0.738222    -0.00849016
0.050    -0.00652326    0.713049    -0.00805245
0.055    -0.00679013    0.687572    -0.00763212
0.060    -0.00698107    0.668895    -0.00732762
0.065    -0.00711311    0.655314    -0.00711161
0.070    -0.00723344    0.641698    -0.00690527
0.075    -0.00742074    0.61948    -0.00657714
0.080    -0.00760415    0.597269    -0.00625278
0.085    -0.00771084    0.583681    -0.00605962
0.090    -0.00780724    0.570168    -0.00587766
0.095    -0.00793305    0.551612    -0.0056351
0.100    -0.00810037    0.526314    -0.00530925
0.105    -0.00824731    0.501374    -0.00500989
0.110    -0.00835169    0.483194    -0.00479517
0.115    -0.00842278    0.470124    -0.00464598
0.120    -0.00848573    0.457294    -0.00450905
0.125    -0.00858236    0.436569    -0.00429554
0.130    -0.00867639    0.415941    -0.00408632
0.135    -0.00873023    0.403451    -0.0039644
0.140    -0.00877746    0.391265    -0.00385417
0.145    -0.00883815    0.374694    -0.00371039
0.150    -0.00891823    0.352207    -0.00351929
0.155    -0.00898602    0.330497    -0.00335225
0.160    -0.00903377    0.314742    -0.00323377
0.165    -0.00906572    0.303519    -0.00315336
0.170    -0.00909304    0.292684    -0.00308271
0.175    -0.0091343    0.275324    -0.00297472
0.180    -0.00917413    0.258104    -0.00286987
0.185    -0.00919648    0.247763    -0.00281018
0.190    -0.00921537    0.237827    -0.00275826
0.195    -0.00923913    0.224421    -0.00269179
0.200    -0.00927016    0.206297    -0.00260421
0.205    -0.0092951    0.189093    -0.00253033
0.210    -0.00931246    0.176655    -0.00247829
0.215    -0.00932376    0.167862    -0.00244338
0.220    -0.00933292    0.159492    -0.00241306
0.225    -0.00934637    0.146173    -0.00236652
0.230    -0.00935918    0.133002    -0.00232122
0.235    -0.00936612    0.12515    -0.00229527
0.240    -0.00937158    0.117709    -0.0022718
0.245    -0.00937816    0.107745    -0.00224076
0.250    -0.00938658    0.0943237    -0.00219909
0.255    -0.00939258    0.0818005    -0.00215988
0.260    -0.00939663    0.0727815    -0.00213142
0.265    -0.00939908    0.0664577    -0.00211103
0.270    -0.00940076    0.060536    -0.00209053
0.275    -0.00940298    0.0511936    -0.00205643
0.280    -0.009405    0.0419901    -0.00202205
0.285    -0.00940592    0.0365551    -0.0020006
0.290    -0.00940639    0.0315048    -0.0019778
0.295    -0.00940676    0.0248169    -0.00194513
0.300    -0.0094071    0.0158599    -0.00189962
0.305    -0.00940681    0.00773712    -0.00184981
0.310    -0.00940651    0.00192731    -0.00181262
0.315    -0.00940618    -0.00208564    -0.00178451
0.320    -0.0094057    -0.00572568    -0.0017541
0.325    -0.00940485    -0.0113644    -0.00170241
0.330    -0.00940396    -0.0168736    -0.00164987
0.335    -0.00940337    -0.0200601    -0.00161647
0.340    -0.00940276    -0.0228853    -0.00158066
0.345    -0.00940191    -0.0265204    -0.00152958
0.350    -0.00940076    -0.0313155    -0.00145866
0.355    -0.00939966    -0.0353235    -0.00138303
0.360    -0.00939887    -0.0381302    -0.00132698
0.365    -0.00939833    -0.0399767    -0.00128535
0.370    -0.00939786    -0.0414695    -0.00124204
0.375    -0.00939716    -0.0436153    -0.00117025
0.380    -0.00939649    -0.0456372    -0.001098
0.385    -0.00939612    -0.0466965    -0.00105313
0.390    -0.00939585    -0.0474083    -0.00100746
0.395    -0.00939556    -0.0481374    -0.000944177
0.400    -0.00939522    -0.0489669    -0.000857579
0.405    -0.00939511    -0.0490372    -0.00077124
0.410    -0.00939508    -0.0489672    -0.000708231
0.415    -0.00939511    -0.0487351    -0.00066291
0.420    -0.00939526    -0.0481614    -0.000618725
0.425    -0.0093956    -0.0469414    -0.000548087
0.430    -0.00939597    -0.0456013    -0.000478102
0.435    -0.00939626    -0.0446074    -0.000436199
0.440    -0.00939665    -0.0432752    -0.000396892
