#Points:1    p    U:0    U:1
0.21    0.0803107    0.590874    0.00276558
0.215    0.0803111    0.583697    0.00275283
0.22    0.0803115    0.576433    0.0027363
0.225    0.0803122    0.56451    0.00270628
0.23    0.0803128    0.55256    0.00267496
0.235    0.0803132    0.545205    0.00265394
0.24    0.0803136    0.537787    0.00262943
0.245    0.0803141    0.527516    0.00259319
0.25    0.0803149    0.513454    0.00254208
0.255    0.0803156    0.499304    0.00248401
0.26    0.0803161    0.48894    0.00244046
0.265    0.0803164    0.481412    0.00240732
0.27    0.0803167    0.473864    0.00237141
0.275    0.0803173    0.461526    0.00231064
0.28    0.0803179    0.449183    0.00224897
0.285    0.0803182    0.441618    0.00220993
0.29    0.0803185    0.434045    0.00216863
0.295    0.080319    0.423597    0.00211016
0.3    0.0803196    0.409317    0.00202931
0.305    0.0803202    0.395048    0.00194455
0.31    0.0803206    0.384611    0.00188197
0.315    0.0803209    0.377052    0.00183582
0.32    0.0803212    0.369509    0.0017884
0.325    0.0803217    0.357204    0.00171019
0.33    0.0803222    0.344905    0.00163165
0.335    0.0803225    0.337382    0.00158308
0.34    0.0803228    0.329875    0.00153392
0.345    0.0803233    0.319532    0.00146585
0.35    0.0803239    0.305404    0.0013727
0.355    0.0803245    0.29132    0.00127949
0.36    0.0803249    0.281023    0.00121135
0.365    0.0803252    0.273571    0.0011621
0.37    0.0803256    0.266142    0.00111341
0.375    0.0803261    0.254025    0.00103463
0.38    0.0803267    0.241915    0.000956165
0.385    0.080327    0.234509    0.000908585
0.39    0.0803274    0.227115    0.000862262
0.395    0.0803279    0.216926    0.00079947
0.4    0.0803287    0.203007    0.00071444
0.405    0.0803294    0.189115    0.000633467
0.41    0.08033    0.178955    0.000574947
0.415    0.0803304    0.171597    0.000533669
0.42    0.0803309    0.164251    0.000494814
0.425    0.0803316    0.152257    0.000433666
0.43    0.0803324    0.140265    0.0003735
0.435    0.0803329    0.132924    0.000338081
0.44    0.0803334    0.125582    0.000305799
0.445    0.0803341    0.115451    0.000263748
0.45    0.0803352    0.101604    0.000207972
0.455    0.0803363    0.0877489    0.000160343
0.46    0.0803372    0.0776109    0.000126867
0.465    0.0803378    0.0702599    0.000104699
0.47    0.0803384    0.062905    8.66975E-05
0.475    0.0803396    0.0508864    6.12708E-05
0.48    0.0803407    0.0388644    3.7539E-05
0.485    0.0803415    0.031498    2.54697E-05
0.49    0.0803421    0.0260338    1.90655E-05
0.495    0.0803426    0.0161648    1.11618E-05
0.5    0.0803431    0    0
